Date,Cyano,Green.Algae,Diatoms,Total.Conc,Reflection,Mesocosm.No,Pred.Treatment,Heat.Treatment,Treatment,Rep,Period
23/07/2019,0.42,0,2.06,2.48,10,29,Absent,Current,4,7.2,Initial
23/07/2019,0.3,0.23,1.71,2.24,12,30,Absent,Current,4,8.1,Initial
23/07/2019,0.45,0.43,1.57,2.45,14,30,Absent,Current,4,8.2,Initial
23/07/2019,0.47,0.12,2,2.59,9,31,Present,Current,3,7.1,Initial
23/07/2019,0.44,0.05,2.19,2.68,17,31,Present,Current,3,7.2,Initial
23/07/2019,0.99,0,3.96,4.95,12,32,Present,Current,3,8.1,Initial
23/07/2019,0.47,0,2.73,3.2,13,32,Present,Current,3,8.2,Initial
23/07/2019,0.31,0,1.68,1.99,6,41,Absent,Ambient,6,5.1,Ambient
23/07/2019,0.44,0,2.05,2.49,7,41,Absent,Ambient,6,5.2,Ambient
23/07/2019,0.3,0,1.95,2.25,5,42,Absent,Ambient,6,6.1,Ambient
23/07/2019,0.57,0,2.6,3.17,15,42,Absent,Ambient,6,6.2,Ambient
23/07/2019,0.32,0,2.33,2.65,14,43,Present,Ambient,5,5.1,Ambient
23/07/2019,0.39,0,2.63,3.02,16,43,Present,Ambient,5,5.2,Ambient
23/07/2019,0.36,0,2.5,2.86,16,44,Present,Ambient,5,6.1,Ambient
23/07/2019,0.19,0.09,1.09,1.37,15,44,Present,Ambient,5,6.2,Ambient
23/07/2019,0.3,0,2.24,2.54,12,45,Absent,Ambient,6,7.1,Ambient
23/07/2019,0.47,0,2.35,2.82,10,45,Absent,Ambient,6,7.2,Ambient
23/07/2019,0.39,0,1.9,2.29,7,46,Absent,Ambient,6,8.1,Ambient
23/07/2019,0.27,0.3,1.74,2.31,7,46,Absent,Ambient,6,8.2,Ambient
23/07/2019,0.47,0,2.62,3.09,6,47,Present,Ambient,5,7.1,Ambient
23/07/2019,0.4,0,2.57,2.97,11,47,Present,Ambient,5,7.2,Ambient
23/07/2019,0.38,0,1.94,2.32,15,48,Present,Ambient,5,8.1,Ambient
23/07/2019,0.45,0,2.25,2.7,7,48,Present,Ambient,5,8.2,Ambient
24/07/2019,0.25,0,1.66,1.91,12,1,Absent,Future,2,1,Initial
24/07/2019,0.23,0.17,0.84,1.24,13,2,Absent,Future,2,2,Initial
24/07/2019,0.36,0,2.39,2.75,3,3,Present,Future,1,1,Initial
24/07/2019,0.4,0,2.68,3.08,12,4,Present,Future,1,2,Initial
24/07/2019,0.31,0.03,1.12,1.46,11,5,Absent,Future,2,3,Initial
24/07/2019,0.45,0,1.96,2.41,13,6,Absent,Future,2,4,Initial
24/07/2019,0.55,0,2.88,3.43,18,7,Present,Future,1,3,Initial
24/07/2019,0.31,0,0.79,1.1,20,8,Present,Future,1,4,Initial
24/07/2019,0.49,0,2.09,2.58,16,9,Absent,Future,2,5,Initial
24/07/2019,0.44,0,2.42,2.86,15,10,Absent,Future,2,6,Initial
24/07/2019,0.96,0,3.34,4.3,13,11,Present,Future,1,5,Initial
24/07/2019,0.54,0,2.6,3.14,9,12,Present,Future,1,6,Initial
24/07/2019,0.9,0,3.87,4.77,7,13,Absent,Future,2,7,Initial
24/07/2019,0.53,0,2.66,3.19,11,14,Absent,Future,2,8,Initial
24/07/2019,0.71,0,3.99,4.7,14,15,Present,Future,1,7,Initial
24/07/2019,0.47,0,2.61,3.08,12,16,Present,Future,1,8,Initial
24/07/2019,0.28,0.02,1.02,1.32,19,17,Absent,Current,4,1,Initial
24/07/2019,0.73,0,2.39,3.12,9,18,Absent,Current,4,2,Initial
24/07/2019,0.39,0,2.65,3.04,14,19,Present,Current,3,1,Initial
24/07/2019,0.33,0,1.43,1.76,18,20,Present,Current,3,2,Initial
24/07/2019,0.36,0,2.45,2.81,1,21,Absent,Current,4,3,Initial
24/07/2019,0.34,0,2.16,2.5,9,22,Absent,Current,4,4,Initial
24/07/2019,0.56,0,2.51,3.07,14,23,Present,Current,3,3,Initial
24/07/2019,0.35,0,2.32,2.67,3,24,Present,Current,3,4,Initial
24/07/2019,0.46,0,3.24,3.7,4,25,Absent,Current,4,5,Initial
